algorithm,language,sample,time
radixmsd,python,66,0.062190294265747
radixmsd,python,67,0.0598700046539306
radixmsd,python,68,0.0613083839416503
radixmsd,python,69,0.0597555637359619
radixmsd,python,70,0.0608994960784912
radixmsd,python,71,0.0601396560668945
radixmsd,python,72,0.0586757659912109
radixmsd,python,73,0.0588319301605224
radixmsd,python,74,0.0597591400146484
radixmsd,python,75,0.058661937713623
radixmsd,python,76,0.0605897903442382
radixmsd,python,77,0.0599815845489501
radixmsd,python,78,0.0597093105316162
radixmsd,python,79,0.0598070621490478
radixmsd,python,80,0.0622951984405517
radixmsd,python,81,0.0628309249877929
radixmsd,python,82,0.0659928321838378
radixmsd,python,83,0.0589818954467773
radixmsd,python,84,0.0574829578399658
radixmsd,python,85,0.0606558322906494
radixmsd,python,86,0.0588173866271972
radixmsd,python,87,0.0591473579406738
radixmsd,python,88,0.0609495639801025
radixmsd,python,89,0.0577094554901123
radixmsd,python,90,0.0696849822998046
radixmsd,python,91,0.0751981735229492
radixmsd,python,92,0.0618307590484619
radixmsd,python,93,0.0643870830535888
radixmsd,python,94,0.0617280006408691
radixmsd,python,95,0.0620489120483398
radixmsd,python,96,0.0636601448059082
radixmsd,python,97,0.0609095096588134
radixmsd,python,98,0.0662460327148437
radixmsd,python,99,0.0611028671264648
quick,lua,0,0.014326
quick,lua,1,0.026923
quick,lua,2,0.015643
quick,lua,3,0.015024
quick,lua,4,0.015773
quick,lua,5,0.013972
quick,lua,6,0.014747
quick,lua,7,0.014895
quick,lua,8,0.014611
quick,lua,9,0.014443
quick,lua,10,0.014752
quick,lua,11,0.014273
quick,lua,12,0.014382
quick,lua,13,0.015305
quick,lua,14,0.023893
quick,lua,15,0.019471
quick,lua,16,0.014062
quick,lua,17,0.014251
quick,lua,18,0.015568
quick,lua,19,0.014139
quick,lua,20,0.014018
quick,lua,21,0.014511
quick,lua,22,0.015405
quick,lua,23,0.018097
quick,lua,24,0.015552
quick,lua,25,0.015182
quick,lua,26,0.015714
quick,lua,27,0.0146
quick,lua,28,0.016422
quick,lua,29,0.014134
quick,lua,30,0.014827
quick,lua,31,0.014781
quick,lua,32,0.016558
quick,lua,33,0.014508
quick,lua,34,0.018482
quick,lua,35,0.015032
quick,lua,36,0.01713
quick,lua,37,0.015014
quick,lua,38,0.015441
quick,lua,39,0.015885
quick,lua,40,0.015988
quick,lua,41,0.014878
quick,lua,42,0.015697
quick,lua,43,0.015095
quick,lua,44,0.015633
quick,lua,45,0.014838
quick,lua,46,0.016043
quick,lua,47,0.01568
quick,lua,48,0.014726
quick,lua,49,0.015392
quick,lua,50,0.020739
quick,lua,51,0.015946
quick,lua,52,0.015506
quick,lua,53,0.016675
quick,lua,54,0.014967
quick,lua,55,0.016673
quick,lua,56,0.016231
quick,lua,57,0.014804
quick,lua,58,0.014294
quick,lua,59,0.014846
quick,lua,60,0.015491
quick,lua,61,0.014107
quick,lua,62,0.014407
quick,lua,63,0.014472
